Archive Date,Group,Hospital HIPE,Hospital,Specialty HIPE,Specialty,Case Type,Adult/Child,Age Categorisation,Time Bands,Count
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,79
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,139
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,74
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,43
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,53
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,0-15, 15-18 Months,37
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,54
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,16-64,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,16-64,  3-6 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,16-64,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,16-64,  9-12 Months,6
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,16-64, 12-15 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,16-64, 15-18 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Inpatient,Child,16-64,18+ Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1302,Paediatric Neurology,Day Case,Child,0-15,  6-9 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15,  3-6 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15,  9-12 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15, 12-15 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15, 15-18 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Day Case,Child,0-15,18+ Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  0-3 Months,18
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  3-6 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  6-9 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,18+ Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,16-64,  3-6 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,16-64,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,104
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,70
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,37
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,48
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,55
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,21
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,31
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  9-12 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64, 12-15 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64, 15-18 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  6-9 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15, 15-18 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,18+ Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15,  0-3 Months,99
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15,  3-6 Months,67
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15,  6-9 Months,26
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15,  9-12 Months,38
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15, 12-15 Months,52
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15, 15-18 Months,20
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15,18+ Months,51
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,16-64,  0-3 Months,5
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,16-64,  3-6 Months,6
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,16-64,  6-9 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,16-64,  9-12 Months,8
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,16-64, 12-15 Months,7
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,16-64, 15-18 Months,5
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,16-64,18+ Months,33
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,0-15,  0-3 Months,121
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,0-15,  3-6 Months,126
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,0-15,  6-9 Months,57
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,0-15,  9-12 Months,70
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,0-15, 12-15 Months,80
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,0-15, 15-18 Months,55
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,0-15,18+ Months,159
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,16-64,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,16-64,  3-6 Months,12
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,16-64,  6-9 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,16-64,  9-12 Months,9
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,16-64, 12-15 Months,12
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,16-64, 15-18 Months,5
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1802,Paed Orthopaedic,Inpatient,Child,16-64,18+ Months,26
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,9
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,  3-6 Months,9
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,  6-9 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,  9-12 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15, 12-15 Months,5
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15, 15-18 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,18+ Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15,  0-3 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15,  3-6 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15, 12-15 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15, 15-18 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15,18+ Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,16-64,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,  0-3 Months,87
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,  3-6 Months,52
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,  6-9 Months,26
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,  9-12 Months,21
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15, 12-15 Months,9
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15, 15-18 Months,13
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,18+ Months,15
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,  0-3 Months,10
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,  3-6 Months,6
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,  6-9 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,  9-12 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64, 15-18 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,18+ Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Inpatient,Child,0-15,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Inpatient,Child,0-15,  3-6 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1902,Paed Cardiology,Inpatient,Child,16-64,18+ Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Day Case,Child,0-15,  0-3 Months,8
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Day Case,Child,0-15,  3-6 Months,6
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Day Case,Child,0-15,  6-9 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Day Case,Child,0-15,  9-12 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Day Case,Child,0-15, 12-15 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Day Case,Child,0-15,18+ Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Day Case,Child,16-64, 12-15 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Day Case,Child,16-64,18+ Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Inpatient,Child,0-15,  0-3 Months,8
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Inpatient,Child,0-15,  3-6 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Inpatient,Child,0-15,  6-9 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Inpatient,Child,0-15,  9-12 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Inpatient,Child,0-15, 12-15 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Inpatient,Child,0-15, 15-18 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Inpatient,Child,0-15,18+ Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1905,Paed Endocrinology,Inpatient,Child,16-64, 12-15 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  0-3 Months,40
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  3-6 Months,13
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 12-15 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 15-18 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  0-3 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  3-6 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  0-3 Months,5
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1906,Paed Gastro-Enterol,Inpatient,Child,0-15, 15-18 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  0-3 Months,12
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  3-6 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  9-12 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15, 12-15 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15, 15-18 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1911,Paed Nephrology,Day Case,Child,0-15,  3-6 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1911,Paed Nephrology,Day Case,Child,0-15,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1911,Paed Nephrology,Day Case,Child,16-64,  9-12 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1911,Paed Nephrology,Inpatient,Child,0-15,  3-6 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1911,Paed Nephrology,Inpatient,Child,0-15,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1911,Paed Nephrology,Inpatient,Child,0-15,  9-12 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1911,Paed Nephrology,Inpatient,Child,16-64, 15-18 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  3-6 Months,8
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  6-9 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15, 12-15 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15, 15-18 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,18+ Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,16-64,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,130
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,146
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,119
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,171
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,140
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,111
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,18+ Months,149
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,8
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  3-6 Months,5
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  6-9 Months,8
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  9-12 Months,4
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,9
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64, 15-18 Months,9
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,18+ Months,11
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,0-15,  0-3 Months,17
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,0-15,  3-6 Months,20
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,0-15,  6-9 Months,6
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,0-15,  9-12 Months,11
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,0-15, 12-15 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,0-15, 15-18 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,0-15,18+ Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,16-64,  0-3 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,16-64,  3-6 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,16-64,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Day Case,Child,16-64,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,1915,Paediatric Dermatology,Inpatient,Child,0-15,  0-3 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,  0-3 Months,57
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,  3-6 Months,38
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,  6-9 Months,23
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,  9-12 Months,21
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15, 12-15 Months,16
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15, 15-18 Months,13
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,18+ Months,12
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,16-64,  0-3 Months,1
